omao@silver-surfer:~/Documents/Moringa/capstone-lap-3 (Blue-Green Deployment Strategy)$ while true; do
  printf "%s — " "$(date +%H:%M:%S)"
  curl -s -o /dev/null -w "HTTP %{http_code}, " http://bluegreen-alb-1629631294.eu-west-1.elb.amazonaws.com/
  curl -s http://bluegreen-alb-1629631294.eu-west-1.elb.amazonaws.com/ | grep -oP '<h1>\K[^<]+' || echo "(no h1)"
  sleep 5
done
23:53:04 — HTTP 200, GREEN
23:53:10 — HTTP 200, GREEN
23:53:15 — HTTP 200, GREEN
23:53:21 — HTTP 200, GREEN
23:53:27 — HTTP 200, GREEN
23:53:33 — HTTP 200, GREEN
23:53:39 — HTTP 200, GREEN
23:53:44 — HTTP 200, GREEN
23:53:50 — HTTP 200, GREEN
23:53:56 — HTTP 200, GREEN
23:54:01 — HTTP 200, GREEN
23:54:07 — HTTP 200, GREEN
23:54:13 — HTTP 200, GREEN
23:54:19 — HTTP 200, GREEN
23:54:25 — HTTP 200, GREEN
23:54:31 — HTTP 200, GREEN
23:54:36 — HTTP 200, GREEN
23:54:42 — HTTP 200, GREEN
23:54:48 — HTTP 200, GREEN
23:54:54 — HTTP 200, GREEN
23:55:00 — HTTP 200, GREEN
23:55:05 — HTTP 200, GREEN
23:55:11 — HTTP 200, GREEN
23:55:17 — HTTP 200, GREEN
23:55:23 — HTTP 200, GREEN
23:55:29 — HTTP 200, GREEN
23:55:35 — HTTP 200, GREEN
23:55:40 — HTTP 200, GREEN
23:55:46 — HTTP 200, GREEN
23:55:52 — HTTP 200, GREEN
23:55:58 — HTTP 200, GREEN
23:56:03 — HTTP 200, GREEN
23:56:09 — HTTP 200, GREEN
23:56:15 — HTTP 200, GREEN
23:56:20 — HTTP 200, GREEN
23:56:27 — HTTP 200, GREEN
23:56:32 — HTTP 200, GREEN
23:56:38 — HTTP 200, GREEN
23:56:44 — HTTP 200, GREEN
23:56:50 — HTTP 200, GREEN
23:56:55 — HTTP 200, GREEN
23:57:02 — HTTP 200, GREEN
23:57:08 — HTTP 200, GREEN
23:57:13 — HTTP 200, GREEN
23:57:19 — HTTP 200, GREEN
23:57:25 — HTTP 200, GREEN
23:57:30 — HTTP 200, GREEN
23:57:36 — HTTP 200, GREEN
23:57:42 — HTTP 200, GREEN
23:57:48 — HTTP 200, GREEN
23:57:55 — HTTP 200, GREEN
23:58:00 — HTTP 200, GREEN
23:58:06 — HTTP 200, GREEN
23:58:12 — HTTP 200, GREEN
23:58:18 — HTTP 200, GREEN
23:58:23 — HTTP 200, BLUE
23:58:29 — HTTP 200, BLUE
23:58:35 — HTTP 200, BLUE
23:58:41 — HTTP 200, BLUE
23:58:47 — HTTP 200, BLUE
23:58:52 — HTTP 200, BLUE
23:58:58 — HTTP 200, BLUE
23:59:04 — HTTP 200, BLUE
23:59:10 — HTTP 200, BLUE
23:59:16 — HTTP 200, BLUE
23:59:23 — HTTP 200, BLUE
23:59:28 — HTTP 200, BLUE
23:59:34 — HTTP 200, BLUE
23:59:40 — HTTP 200, BLUE
23:59:45 — HTTP 200, BLUE
23:59:51 — HTTP 200, BLUE
23:59:57 — HTTP 200, BLUE
00:00:03 — HTTP 200, BLUE
00:00:09 — HTTP 200, BLUE
00:00:14 — HTTP 200, BLUE
00:00:20 — HTTP 200, BLUE
00:00:26 — HTTP 200, BLUE
00:00:32 — HTTP 200, BLUE
00:00:37 — HTTP 200, BLUE
00:00:43 — HTTP 200, BLUE
00:00:49 — HTTP 200, BLUE
00:00:55 — HTTP 200, BLUE
00:01:00 — HTTP 200, BLUE
00:01:06 — HTTP 200, BLUE
00:01:12 — HTTP 200, BLUE
00:01:18 — HTTP 200, BLUE
00:01:24 — HTTP 200, BLUE
00:01:30 — HTTP 200, BLUE
00:01:35 — HTTP 200, BLUE
00:01:41 — HTTP 200, BLUE
00:01:47 — HTTP 200, BLUE
00:01:53 — HTTP 200, BLUE
00:01:59 — HTTP 200, BLUE
00:02:05 — HTTP 200, BLUE
00:02:11 — HTTP 200, BLUE
00:02:17 — HTTP 200, BLUE
00:02:22 — HTTP 200, BLUE
00:02:28 — HTTP 200, BLUE
00:02:35 — HTTP 200, BLUE
00:02:41 — HTTP 200, BLUE
00:02:47 — HTTP 200, BLUE
00:02:54 — HTTP 200, BLUE
00:03:00 — HTTP 200, BLUE
00:03:06 — HTTP 200, BLUE
00:03:12 — HTTP 200, BLUE
00:03:18 — HTTP 200, BLUE
00:03:24 — HTTP 200, BLUE
00:03:30 — HTTP 200, BLUE
00:03:36 — HTTP 200, BLUE
00:03:42 — HTTP 200, BLUE
00:03:48 — HTTP 200, BLUE
00:03:55 — HTTP 200, BLUE
00:04:00 — HTTP 200, BLUE
00:04:06 — HTTP 200, BLUE
00:04:12 — HTTP 200, BLUE
00:04:18 — HTTP 200, BLUE
00:04:24 — HTTP 200, BLUE
00:04:30 — HTTP 200, BLUE
00:04:36 — HTTP 200, BLUE
00:04:41 — HTTP 200, BLUE
00:04:47 — HTTP 200, BLUE
00:04:53 — HTTP 200, BLUE
00:04:59 — HTTP 200, BLUE
00:05:04 — HTTP 200, BLUE
00:05:10 — HTTP 200, BLUE
00:05:17 — HTTP 200, BLUE
00:05:22 — HTTP 200, BLUE
00:05:28 — HTTP 200, BLUE
00:05:34 — HTTP 200, BLUE
00:05:40 — HTTP 200, BLUE
00:05:45 — HTTP 200, BLUE
00:05:51 — HTTP 200, BLUE
00:05:57 — HTTP 200, BLUE
00:06:03 — HTTP 200, BLUE
00:06:09 — HTTP 200, BLUE
00:06:14 — HTTP 200, BLUE
00:06:20 — HTTP 200, BLUE
00:06:26 — HTTP 200, BLUE
00:06:32 — HTTP 200, BLUE
00:06:38 — HTTP 200, BLUE
00:06:43 — HTTP 200, BLUE
00:06:49 — HTTP 200, BLUE
00:06:58 — HTTP 200, BLUE
00:07:04 — HTTP 200, BLUE
00:07:10 — HTTP 200, BLUE
00:07:16 — HTTP 200, BLUE
00:07:21 — HTTP 200, BLUE
00:07:28 — HTTP 200, BLUE
